# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  --cpu 16 -i GUT_GENOME000001/roary_90/pan_genome_reference.faa -m diamond -o funcs_annotation_eggNOG --output_dir GUT_GENOME000001/roary_90 --temp_dir GUT_GENOME000001/roary_90
# time: Sun Apr 28 01:15:45 2019
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KOs	BiGG_reactions	Annotation_tax_scope	OGs	bestOG|evalue|score	COG cat	eggNOG annot
GUT_GENOME000001_00937	272563.CD3671	9.2e-114	415.2	PARB	GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005694,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464,GO:0060187,GO:0071944	K03497		bactNOG[38]	05FA0@bactNOG,0EPUJ@cloNOG,0NDJP@firmNOG,COG1475@NOG	NA|NA|NA	K	parb-like partition protein
GUT_GENOME000001_00938	350688.Clos_2868	2.9e-103	380.2	SOJ	GO:0000003,GO:0000287,GO:0000910,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007049,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0019954,GO:0022402,GO:0032505,GO:0034641,GO:0034655,GO:0040007,GO:0042278,GO:0042454,GO:0043093,GO:0043167,GO:0043169,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046872,GO:0051301,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K03496		bactNOG[38]	07QJE@bactNOG,0EPCD@cloNOG,0NDUA@firmNOG,COG1192@NOG	NA|NA|NA	D	sporulation initiation inhibitor protein soj
GUT_GENOME000001_00939	272563.CD3673	4.1e-121	439.5	NOC	GO:0005575,GO:0009295	K03497		bactNOG[38]	0636K@bactNOG,0EPQ7@cloNOG,0NF92@firmNOG,COG1475@NOG	NA|NA|NA	K	parb-like partition protein
GUT_GENOME000001_00940	445973.CLOBAR_00019	9.9e-106	388.3	RSMG	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009452,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016435,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0036260,GO:0036265,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0070043,GO:0070475,GO:0070476,GO:0071704,GO:0071840,GO:0090304,GO:1901360	K03501		bactNOG[38]	05D28@bactNOG,0ESGU@cloNOG,0NDPD@firmNOG,COG0357@NOG	NA|NA|NA	M	Specifically methylates the N7 position of a guanine in 16S rRNA (By similarity)
GUT_GENOME000001_00941	272563.CD3675	7.7e-307	1057.7	MNMG	GO:0000166,GO:0001510,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0048037,GO:0050660,GO:0050662,GO:0071704,GO:0090304,GO:0097159,GO:1901265,GO:1901360,GO:1901363	K03495		bactNOG[38]	07RE5@bactNOG,0EPJR@cloNOG,0NEB9@firmNOG,COG0445@NOG	NA|NA|NA	D	NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34 (By similarity)
GUT_GENOME000001_00942	272563.CD3676	9.2e-209	731.5	MNME	GO:0000166,GO:0001510,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009268,GO:0009410,GO:0009451,GO:0009628,GO:0009636,GO:0009987,GO:0010467,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019439,GO:0019637,GO:0019693,GO:0030488,GO:0032259,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034470,GO:0034641,GO:0034655,GO:0034660,GO:0035639,GO:0036094,GO:0042221,GO:0042278,GO:0042454,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0050896,GO:0051716,GO:0055086,GO:0070887,GO:0071466,GO:0071704,GO:0072521,GO:0072523,GO:0090304,GO:0097159,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K03650		bactNOG[38]	05C1H@bactNOG,0ENWQ@cloNOG,0NE5K@firmNOG,COG0486@NOG	NA|NA|NA	S	Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34 (By similarity)
GUT_GENOME000001_00943	500633.CLOHIR_02110	7.6e-81	305.4	JAG	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944	K06346		bactNOG[38]	08Z7S@bactNOG,0ES26@cloNOG,0NJ82@firmNOG,COG1847@NOG	NA|NA|NA	S	Single-stranded nucleic acid binding R3H domain-containing protein
GUT_GENOME000001_00944	272563.CD3678	1.7e-94	350.9	OXAA	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K03217		bactNOG[38]	05DHW@bactNOG,0EQKG@cloNOG,0NEJJ@firmNOG,COG0706@NOG	NA|NA|NA	U	Membrane protein insertase, YidC Oxa1 family
GUT_GENOME000001_00945	445973.CLOBAR_00014	6.8e-38	161.4	SP_1873	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K08998		bactNOG[38]	05VAS@bactNOG,0EVFD@cloNOG,0NNFM@firmNOG,COG0759@NOG	NA|NA|NA	S	Could be involved in insertion of integral membrane proteins into the membrane (By similarity)
GUT_GENOME000001_00946	272563.CD3679	3.3e-43	179.5	RNPA		K03536		bactNOG[38]	05M7T@bactNOG,0EU4B@cloNOG,0NKU3@firmNOG,COG0594@NOG	NA|NA|NA	J	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)
GUT_GENOME000001_00947	445973.CLOBAR_00012	7.9e-17	90.5	RPMH	GO:0003674,GO:0003735,GO:0005198,GO:0006412,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0071704,GO:1901576	K02914		bactNOG[38]	05VG0@bactNOG,0EWZ3@cloNOG,0NQZB@firmNOG,COG0230@NOG	NA|NA|NA	J	50S ribosomal protein L34
GUT_GENOME000001_00948	272563.CD0001	8.2e-215	751.5	DNAA	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006164,GO:0006172,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006461,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009125,GO:0009126,GO:0009127,GO:0009128,GO:0009132,GO:0009133,GO:0009135,GO:0009136,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009152,GO:0009154,GO:0009156,GO:0009158,GO:0009161,GO:0009163,GO:0009164,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009169,GO:0009179,GO:0009180,GO:0009185,GO:0009188,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009260,GO:0009261,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0016043,GO:0016311,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0022607,GO:0030312,GO:0030554,GO:0031323,GO:0031326,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042451,GO:0042454,GO:0042455,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0044710,GO:0046031,GO:0046034,GO:0046128,GO:0046129,GO:0046130,GO:0046390,GO:0046434,GO:0046483,GO:0046700,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0051259,GO:0051260,GO:0055086,GO:0060255,GO:0065003,GO:0065007,GO:0070271,GO:0071704,GO:0071822,GO:0071840,GO:0071944,GO:0072521,GO:0072522,GO:0072523,GO:0080090,GO:0090304,GO:0090407,GO:0097159,GO:1901135,GO:1901136,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659,GO:2000112	K02313		bactNOG[38]	05CI4@bactNOG,0EPFQ@cloNOG,0NDJT@firmNOG,COG0593@NOG	NA|NA|NA	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)
GUT_GENOME000001_00949	272563.CD0002	2.3e-170	603.6	DNAN	GO:0003674,GO:0003824,GO:0003887,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0022616,GO:0030312,GO:0032991,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0042575,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901576	K02338		bactNOG[38]	05CZ8@bactNOG,0ENQE@cloNOG,0ND7B@firmNOG,COG0592@NOG	NA|NA|NA	L	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)
GUT_GENOME000001_00950	445973.CLOBAR_00009	1.3e-23	113.6	YAAA		K14761		bactNOG[38]	067SR@bactNOG,0EX3X@cloNOG,0P3II@firmNOG,COG2501@NOG	NA|NA|NA	S	S4 domain protein
GUT_GENOME000001_00951	272563.CD0004	1.5e-164	584.3	RECF	GO:0000731,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009987,GO:0016020,GO:0018130,GO:0019438,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0071944,GO:0090304,GO:1901360,GO:1901362,GO:1901576	K03629		bactNOG[38]	05C3X@bactNOG,0ENTS@cloNOG,0NDA9@firmNOG,COG1195@NOG	NA|NA|NA	L	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP (By similarity)
GUT_GENOME000001_00952	272563.CD0005	0.0	1119.0	GYRB	GO:0000166,GO:0000287,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006265,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009987,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0030312,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034655,GO:0035639,GO:0036094,GO:0040007,GO:0042278,GO:0042454,GO:0042623,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046872,GO:0055086,GO:0061505,GO:0071103,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0090304,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658	K02470		bactNOG[38]	05C7D@bactNOG,0EPF5@cloNOG,0NDDM@firmNOG,COG0187@NOG	NA|NA|NA	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)
GUT_GENOME000001_00953	272563.CD0006	0.0	1385.9	GYRA	GO:0000166,GO:0000287,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006265,GO:0006351,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009330,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0030312,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0035639,GO:0036094,GO:0042221,GO:0042278,GO:0042454,GO:0042493,GO:0042623,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046872,GO:0050896,GO:0055086,GO:0061505,GO:0071103,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0090304,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658	K02469		bactNOG[38]	05C24@bactNOG,0EP6H@cloNOG,0NDT2@firmNOG,COG0188@NOG	NA|NA|NA	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)
GUT_GENOME000001_00956	272563.CD0009	1.7e-38	163.7	RSBV		K04749,K06378		bactNOG[38]	05WN5@bactNOG,0F513@cloNOG,0NNKB@firmNOG,COG1366@NOG	NA|NA|NA	T	stage II sporulation protein
GUT_GENOME000001_00957	500633.CLOHIR_02093	3.3e-50	203.0	RSBW		K04757		bactNOG[38]	08ZBE@bactNOG,0ETA1@cloNOG,0NJCF@firmNOG,COG2172@NOG	NA|NA|NA	T	anti-sigma F factor
GUT_GENOME000001_00958	272563.CD0011	1.5e-120	437.6	SIGB		K03090,K03091		bactNOG[38]	05E65@bactNOG,0EPWS@cloNOG,0NE6M@firmNOG,COG1191@NOG	NA|NA|NA	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
GUT_GENOME000001_00960	929506.CbC4_1605	9.9e-89	332.0	CBC4_1048				bactNOG[38]	08KQ0@bactNOG,0NG52@firmNOG,COG3316@NOG	NA|NA|NA	L	ISCb1g3, transposase
GUT_GENOME000001_00961	445973.CLOBAR_02653	2.6e-95	354.4					bactNOG[38]	08QAP@bactNOG,0EZ96@cloNOG,0NTWX@firmNOG,COG1226@NOG	NA|NA|NA	P	Inherit from bactNOG: Ion transport 2 domain-containing protein
GUT_GENOME000001_00962	457396.CSBG_00531	1.6e-38	164.1			K09790		bactNOG[38]	0800A@bactNOG,0EUT5@cloNOG,0NNN3@firmNOG,COG2832@NOG	NA|NA|NA	S	Protein of unknown function (DUF454)
GUT_GENOME000001_00963	445973.CLOBAR_01787	4.2e-214	749.6	CYDD	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0031224,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K06147,K06148,K16013	CYTBD2pp	bactNOG[38]	08JJ9@bactNOG,0F7BX@cloNOG,0P6MA@firmNOG,COG4988@NOG	NA|NA|NA	V	Abc transporter
GUT_GENOME000001_00964	445973.CLOBAR_01788	6.8e-214	748.8	CYDC	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K06147,K06148,K16012		bactNOG[38]	05BZ1@bactNOG,0EPE4@cloNOG,0NDDI@firmNOG,COG1132@NOG	NA|NA|NA	V	Abc transporter
GUT_GENOME000001_00965	457396.CSBG_00530	1.9e-34	150.2	YGBA				bactNOG[38]	05VXR@bactNOG,0EU9Z@cloNOG,0NNXX@firmNOG,121K2@NOG	NA|NA|NA	S	Nitrous oxide-stimulated promoter
GUT_GENOME000001_00966	272563.CD2359	1.4e-111	407.9	YIDA	GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019203,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0046872,GO:0050308	K07024		bactNOG[38]	0667J@bactNOG,0ERVD@cloNOG,0NHBU@firmNOG,COG0561@NOG	NA|NA|NA	S	Hydrolase
GUT_GENOME000001_00967	272563.CD2358	1.7e-241	840.5					bactNOG[38]	05D1I@bactNOG,0ENVV@cloNOG,0NDWQ@firmNOG,COG1164@NOG	NA|NA|NA	E	oligoendopeptidase, M3 family
GUT_GENOME000001_00968	272563.CD2356	8.7e-102	375.6	TRXB		K00384	TRDR	bactNOG[38]	05C3M@bactNOG,0EP4R@cloNOG,0NE5Z@firmNOG,COG0492@NOG	NA|NA|NA	O	Thioredoxin reductase
GUT_GENOME000001_00969	272563.CD2355	9.3e-32	141.4	TRXA		K03671		bactNOG[38]	080XV@bactNOG,0EUN4@cloNOG,0P34X@firmNOG,COG0526@NOG	NA|NA|NA	O	Thioredoxin
GUT_GENOME000001_00970	272563.CD2330	1.5e-77	294.3	XPT	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K03816	XPPT	bactNOG[38]	08UPS@bactNOG,0ESNA@cloNOG,0NIA0@firmNOG,COG0503@NOG	NA|NA|NA	F	Converts the preformed base xanthine, a product of nucleic acid breakdown, to xanthosine 5'-monophosphate (XMP), so it can be reused for RNA or DNA synthesis (By similarity)
GUT_GENOME000001_00971	272563.CD2329	1.3e-93	347.8	TAL	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K00616	TALA	bactNOG[38]	05CW3@bactNOG,0ENNC@cloNOG,0ND7S@firmNOG,COG0176@NOG	NA|NA|NA	G	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)
GUT_GENOME000001_00972	445973.CLOBAR_01952	3.4e-157	560.1	GLTP	GO:0003674,GO:0005215,GO:0006810,GO:0006811,GO:0006812,GO:0006818,GO:0006820,GO:0006835,GO:0006865,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015672,GO:0015711,GO:0015800,GO:0015807,GO:0015813,GO:0015849,GO:0015992,GO:0022804,GO:0022857,GO:0022891,GO:0022892,GO:0034220,GO:0044699,GO:0044763,GO:0044765,GO:0046942,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705	K03309		bactNOG[38]	05CK2@bactNOG,0EPP1@cloNOG,0NDRB@firmNOG,COG1301@NOG	NA|NA|NA	C	Transporter, dicarboxylate amino acid cation Na H symporter family protein
GUT_GENOME000001_00973	272563.CD2251	1.7e-21	108.2					bactNOG[38]	079FK@bactNOG,0F31X@cloNOG,0NZNE@firmNOG,0Z6B1@NOG	NA|NA|NA		
GUT_GENOME000001_00974	445973.CLOBAR_02648	2.5e-106	390.2					bactNOG[38]	05DPZ@bactNOG,0EP0I@cloNOG,0NDYN@firmNOG,COG0745@NOG	NA|NA|NA	T	response regulator
GUT_GENOME000001_00976	272563.CD2288	1.5e-143	515.4					bactNOG[38]	05F4T@bactNOG,0EPXK@cloNOG,0NDXY@firmNOG,COG0642@NOG	NA|NA|NA	T	Histidine kinase
GUT_GENOME000001_00977	445973.CLOBAR_00650	4.9e-60	236.5			K07720		bactNOG[38]	08KJU@bactNOG,0EUZR@cloNOG,0NEQX@firmNOG,COG4753@NOG	NA|NA|NA	K	Transcriptional regulator, AraC family
GUT_GENOME000001_00978	195103.CPF_0210	9.6e-122	443.0					bactNOG[38]	06MZV@bactNOG,0EZGB@cloNOG,0NU7G@firmNOG,0YDBU@NOG	NA|NA|NA	M	Cell wall anchor domain protein
GUT_GENOME000001_00979	195103.CPF_0210	2.2e-11	74.7					bactNOG[38]	06MZV@bactNOG,0EZGB@cloNOG,0NU7G@firmNOG,0YDBU@NOG	NA|NA|NA	M	Cell wall anchor domain protein
